symbol,calendarYear,GPM,A (SGA),B (RD),C (PPE),D (DEPR),E (CAPEX),F (NR),currentRatio,G (ROA),H (LD/GP),debtToEquity,Net Issuance,Interest - income,Buy =1
AXP,2014,0.694974,0.49658575,0,0.189758,0.0548867,-0.2030586236,7.986406117,0.8835663249,0.03698861744,2.2594375,2.796497847,-19.64390244,0,0
AXP,2013,0.694974,0.49658575,0,0.189758,0.0548867,-0.1877215898,8.804814331,0.8692535869,0.0349405053,2.251999375,2.82575913,-15.12676056,0,0
AXP,2012,0.694974,0.49658575,0,0.189758,0.0548867,-0.234939759,10.24408746,0.9325327772,0.02926733708,2.228891719,3.11606481,-15.87782805,0,0
AXP,2011,0.694974,0.49658575,0,0.189758,0.0548867,-0.2409321175,8.937993921,0.9669080869,0.03218401299,2.242767148,3.169628605,-7.353448276,0,0
AXP,2010,0.694974,0.49658575,0,0.189758,0.0548867,-0.218634459,9.966477693,0.477032735,0.02759075638,2.245773936,4.092174985,0.3067226891,0,0
AXP,2009,0.694974,0.49658575,0,0.189758,0.0548867,-0.3624413146,17.93615023,0.8416298986,0.01716523757,2.242358044,3.633069554,-11.70886076,0,0
AXP,2008,0.694974,0.49658575,0,0.189758,0.0548867,-0.3519822156,13.8488329,2.216341895,0.02140806193,2.239947712,5.070602145,0,0,0
AXP,2007,0.694974,0.49658575,0,0.189758,0.0548867,-0.2200897308,10.46984048,0.00005986876766,0.9099569063,2.24271171,5.012693807,0,0,0
AXP,2006,0.694974,0.49658575,0,0.189758,0.0548867,-0.2066360939,10.48044241,0.0003083316576,0.02899423557,2.24269785,4.066882314,0,0,0
AXP,2005,0.694974,0.49658575,0,0.189758,0.0548867,-0.1628280664,9.506427424,0.0006608839323,0.03276588277,2.241928829,2.917906911,0,0,0
AXP,2004,0.694974,0.49658575,0,0.189758,0.0548867,-0.2148040639,10.05805515,0.7217806345,0.01788328367,2.241821525,2.063732834,0,0,0
AXP,2003,0.694974,0.49658575,0,0.189758,0.0548867,-0.3418145296,10.46836291,0.7190977295,0.01706847389,2.242289979,1.347908373,0,0,0
AXP,2002,0.694974,0.49658575,0,0.189758,0.0548867,-0.2508423811,10.88992887,0.704146039,0.01698536753,2.242184546,1.213404516,0,0,0
AXP,2001,0.694974,0.49658575,0,0.189758,0.0548867,-0.6552250191,22.50038139,0.6891362619,0.008676373263,2.24205622,0.6885436571,0,0,0
AXP,2000,0.694974,0.49658575,0,0.189758,0.0548867,-0.3270462633,10.86939502,0.6670093059,0.01819677121,2.242088067,0.4459945224,0,0,0
AXP,1999,0.694974,0.49658575,0,0.189758,0.0548867,-0.3309090909,10.69373737,0.6397457804,0.01666475892,2.242154703,0.6433878158,0,0,0
AXP,1998,0.694974,0.49658575,0,0.189758,0.0548867,-0.4026156002,10.38019617,0.6545378754,0.01686716614,2.242120884,0.6882722102,0,0,0
AXP,1997,0.694974,0.49658575,0,0.189758,0.0548867,-0.1722752386,10.93621296,0.6375295097,0.01659125189,2.242104969,0.822331314,0,0,0
AXP,1996,0.694974,0.49658575,0,0.189758,0.0548867,-0.23040505,10.77906365,0.494001111,0.01751879976,2.242117156,0.7682926829,0,0,0
AXP,1995,0.694974,0.49658575,0,0.189758,0.0548867,-0.2218670077,12.73273657,0.5389048602,0.01456170569,2.242124428,0.9209245742,0,0,0
AXP,1994,0.694974,0.49658575,0,0.189758,0.0548867,-0.2356687898,12.13517339,0.587868181,0.01456610931,2.242116859,1.113321934,0,0,0
AXP,1993,0.694974,0.49658575,0,0.189758,0.0548867,-0.1935047361,0,0.6412506626,0.01570135554,2.242115853,0.9801923517,0,0,0
AXP,1992,0.694974,0.49658575,0,0.189758,0.0548867,-1.235102925,0,0.633929756,0.002625859165,2.242118574,2.016535538,0,0,0
AXP,1991,0.694974,0.49658575,0,0.189758,0.0548867,-0.8314321926,0,0.626187213,0.005387835374,2.242118928,1.780576021,0,0,0
AXP,1990,0.694974,0.49658575,0,0.189758,0.0548867,-3.972375691,0,0.619100047,0.001314623553,2.242117554,1.887113791,0,0,0
AXP,1989,0.694974,0.49658575,0,0.189758,0.0548867,-0.8314606742,0,0.6127331184,0.008841847847,2.242117727,2.521173783,0,0,0
AXP,1988,0.694974,0.49658575,0,0.189758,0.0548867,-0.7870560905,0,0.6077989195,0.01187648302,2.242118196,27.26941363,0,0,0
AXP,1987,0.694974,0.49658575,0,0.189758,0.0548867,-0.8285239996,0,0.6048946594,0.01144118521,2.242118101,3.706195257,0,0,0
AXP,1986,0.694974,0.49658575,0,0.189758,0.0548867,-0.867242945,0,0.6003816398,0.01094791421,2.242117894,3.980551898,0,0,0
AXP,1985,0.694974,0.49658575,0,0.189758,0.0548867,-0.9304218274,0,0.5970045607,0.01043488352,2.24211798,4.26766286,0,0,0
BTI,2020,0.8394630664,0.001307884278,0.005592014049,0.2338478602,0.06701173861,-0.11796875,0,0.8794417883,0.04648122594,1.845225991,0.6370685941,-0.02931596091,0.1753144654,0
BTI,2019,0.8285349925,0.001180037313,0.005876865672,0.257369403,0.07052238806,-0.1428821879,0,0.7052010838,0.04045246622,1.763246269,0.5915933774,-0.1905537459,0.193716143,0
BTI,2018,0.8142250531,0.001273693712,0.005265269281,0.2590512486,0.05205094775,-0.1563328912,0,0.775001531,0.04121851553,2.170494434,0.6613898906,-0.2263843648,0.1731445768,0
BTI,2017,0.7519712202,0.003126023986,0.005242807523,0.3199423291,0.05911265483,-0.02605706978,0,0.8984817293,0.2661197691,2.885313585,0.7240806526,-0.3338762215,0.1737248841,0
BTI,2016,0.7469324114,0.001034670539,0.004810310401,0.33227446,0.05509166818,-0.1450086059,0,1.042425776,0.1168631987,1.496460338,2.015155219,-0.1262327416,0.1439931227,0
BTI,2015,0.768543956,0.001251117069,0.005957700328,0.2999702115,0.04249826234,-0.1400932401,0,1.089717966,0.1361256545,1.470161851,3.025337148,-0.08284023669,0.1267697669,0
BTI,2014,0.7831221817,0.001361849922,0.00676354995,0.2745635682,0.04780184627,-0.2221508828,0,1.041395826,0.1190430695,0.8937939859,1.77477314,-1.66469428,0.1263700838,0
BTI,2013,0.7874836173,0.001231588583,0.007572605476,0.2626279437,0.03969376716,-0.184682377,0,1.128259839,0.1452326922,0.8085212615,1.464576424,-3.114398422,0.1102136062,0
BTI,2012,0.781961817,0.001271257788,0.007829600943,0.2694898131,0.03998989729,-0.2093204895,0,1.128224024,0.1405569583,0.7646910254,1.215604925,-2.710059172,0.1059554256,0
BTI,2011,0.7775180207,0,0.006765221749,0.2544892675,0.04309696818,-0.1993537964,0,1.08257933,0.1141266271,0.7107658899,1.041998286,-1.725296443,0.2751091703,0
BTI,2010,0.7509238729,0,0.007337151038,0.2789012169,0.04509663565,-0.2028482112,0,1.132374101,0.1033381192,0.7977809592,0.9684988051,-0.1166007905,0.5408163265,0
BTI,2009,0.7172015766,0,0.005004906771,0.2953876349,0.04946025515,-0.2042019904,0,1.172064777,0.1019388292,0.9530912659,1.275712597,-0.1719367589,1.50877193,0
BTI,2008,0.7264477809,0,0.005677946854,0.3493072905,0.04769475358,-0.2214082214,0,0.9843433206,0.08918006606,1.071655689,1.359014977,-1,-2.62254902,0
BTI,2007,0.7232980635,0,0.005934308584,0.3281810654,0.04388628209,-0.2262910798,0,1.178304787,0.113515242,0.8365995032,0.8822587687,-1.509881423,0.1314974182,0
